# Generated from libretro-database's Sony - PlayStation DAT.
# Source: https://github.com/libretro/libretro-database
# License: CC-BY-SA-4.0
namerom2karaokevol5karaokemakunouchi	ROM^2 Karaoke Vol. 5 - Karaoke Maku no Uchi (Japan)
namerom2karaokevolume1	ROM^2 Karaoke Volume 1 (Japan)
namerom2karaokevolume2	ROM^2 Karaoke Volume 2 (Japan)
namerom2karaokevolume3	ROM^2 Karaoke Volume 3 (Japan)
namerom2karaokevolume4	ROM^2 Karaoke Volume 4 (Japan)
namerom2karaokevolume5	ROM^2 Karaoke Volume 5 (Japan)
nameromromstadium	ROM ROM Stadium (Japan)
namertypecompletecd	R-Type Complete CD (Japan)
nameruinkaminoisan	Ruin - Kami no Isan (Japan)
nameryuukonoken	Ryuuko no Ken (Japan) (En,Ja,Es) (FAAT)
namesangokushieiketsutenkaninozomu	Sangokushi - Eiketsu Tenka ni Nozomu (Japan)
namesangokushiiii	Sangokushi III (Japan)
nameseireisenshispriggan	Seirei Senshi Spriggan (Japan)
nameseiryuudensetsumonbit	Seiryuu Densetsu - Monbit (Japan) (Rev 1)
nameseisenshidenshoujantakunokishi	Seisenshi Denshou - Jantaku no Kishi (Japan)
nameseiyamonogatarianearthfantasystories	Seiya Monogatari - Anearth Fantasy Stories (Japan)
namesengokukantousangokushi	Sengoku Kantou Sangokushi (Japan)
namesexyidolmahjong	Sexy Idol Mahjong (Japan)
namesexyidolmahjongfashionmonogatari	Sexy Idol Mahjong - Fashion Monogatari (Japan)
namesexyidolmahjongyakyuukennouta	Sexy Idol Mahjong - Yakyuuken no Uta (Japan)
nameshadowofthebeast	Shadow of the Beast (USA)
nameshadowofthebeastmashounookite	Shadow of the Beast - Mashou no Okite (Japan)
nameshanghaiii	Shanghai II (Japan)
nameshapeshifter	Shape Shifter (USA)
namesherlockholmesconsultingdetective	Sherlock Holmes - Consulting Detective (Japan)
namesherlockholmesconsultingdetectivevolii	Sherlock Holmes - Consulting Detective - Vol. II (Japan)
nameshinmegamitensei	Shin Megami Tensei (Japan) (Rev 1)
nameshinnihonprowrestling94battlefieldintokyodome	Shin Nihon Pro Wrestling - '94 Battlefield in Tokyo Dome (Japan)
nameshinonryousenki	Shin Onryou Senki (Japan)
nameshougidatabasekiyuu	Shougi Database Kiyuu (Japan)
namesimearththelivingplanet	SimEarth - The Living Planet (Japan)
nameslotgambler	Slot Gambler (Japan)
namesnatchercdromantic	Snatcher CD-ROMantic (Japan)
namesnatchercdromanticpilotdisk	Snatcher CD-ROMantic - Pilot Disk (Japan)
namesolbianca	Sol Bianca (Japan)
namesolidforce	Solid Force (Japan)
